,upc,marketing,relative_revenue
0,3800039118,N,1.0
1,1111087396,N,1.0
2,31254742835,F,1.8761450607642325
3,7110410471,D,1.8424525694668832
4,3000006560,F,2.304282917353142
5,2840002333,F,1.1677068143824347
6,7027312504,T,0.950553762352755
7,7797508004,F,1.5268650252652314
8,1111087395,D,2.2752453323941593
9,3000006610,T,1.401442478706954
10,7110410470,N,1.0
11,7797508006,D,1.626231916237024
12,31254742735,D,1.3523319306056445
13,1111085319,D,1.3257799388616618
14,1111087398,F,1.7072637869437046
15,31254742725,F,2.449880341450734
16,7218063052,F,2.9748453482074844
17,88491201426,T,1.0001574604545314
18,3700019521,F,2.160081231151119
19,7192100339,F,2.02171386406571
20,2840004768,T,1.2409752848611244
21,2066200531,F,1.4598399349896458
22,88491201426,D,1.5986161968716361
23,2066200532,T,1.5325088442690613
24,7218063983,D,2.563814849252524
25,1111035398,N,0.9999999999999998
26,3000006340,D,2.606580651169852
27,7027312504,D,1.303292927992269
28,7192100339,D,1.824685824350672
29,1111009477,FD,2.022780699620462
30,2066200531,T,1.6024343484792039
31,4116709448,T,1.063876748268294
32,3000006610,F,3.1289141376550447
33,7797508006,F,1.6403296174901711
34,1600027527,F,2.333420659293769
35,2066200532,D,2.730229133903605
36,7110410455,D,1.810695882728801
37,1111085345,N,1.0
38,1111087395,T,1.1748325352056974
39,3000006610,D,2.7631688626058226
40,7192100337,T,1.2513721381897305
41,31254742725,FD,2.3379758941198285
42,1111087396,F,1.7837781400059625
43,7192100336,F,2.1500059766845605
44,1600027564,T,0.8635737036427468
45,1111009497,N,1.0
46,1111038080,D,1.6167645202480567
47,7797502248,N,0.9999999999999998
48,1111087395,FD,2.5025674964482785
49,1111085319,FD,1.4607799217062603
50,1600027528,FD,2.737499355458246
51,1600027564,D,1.5312620480593127
52,7110410471,T,0.8553819653504507
53,31254742835,T,1.1815670938955818
54,1111009497,D,1.4799857950582718
55,2840002333,T,1.0506137815542922
56,7218063052,N,1.0
57,1111009497,FD,2.241400461911191
58,3800031838,FD,3.6465232239920278
59,4116709428,D,0.945897062876636
60,7110410455,N,1.0
61,1111038080,F,2.1596964680991055
62,1111087398,FD,2.2874660457315428
63,2840004770,FD,2.6646586720387453
64,31254742835,N,0.9999999999999998
65,1111085350,N,1.0
66,88491201426,N,1.0
67,7027316204,T,0.8912703840938759
68,31254742725,D,1.4117083850048207
69,7797508004,FD,2.1959087624899483
70,31254742735,T,1.1512976848592713
71,1111085350,F,1.255921322264783
72,3700031613,N,0.9999999999999998
73,7218063052,T,1.67724017092727
74,7797508006,N,1.0
75,3700044982,FD,1.364962626105521
76,7192100337,N,1.0
77,1600027528,T,1.106394724900188
78,3800031838,D,2.2852118501704024
79,3800039118,T,1.6557760575433036
80,88491201427,T,1.098233421197093
81,7192100337,F,2.0493609113683235
82,31254742835,FD,2.738311312148846
83,1111009477,D,1.3571757077676931
84,3700044982,T,1.0662523971556679
85,31254742735,N,1.0
86,2840004768,FD,2.6242034199351267
87,4116709565,T,0.9465979740100812
88,1600027528,N,1.0
89,3000006560,D,2.1756710625476354
90,3800031838,F,2.754022825040711
91,7797502248,T,1.194166234040086
92,3800031829,T,1.0966058938153223
93,31254742735,F,1.6987204261340583
94,7027316404,T,0.8814736368835152
95,2840004770,T,1.1833811026207823
96,7027316404,D,0.8798441634885211
97,7192100336,N,1.0
98,1111085319,N,1.0
99,7192100337,D,2.0347558857675483
100,3800031838,T,0.9714385815392182
101,1111035398,T,0.8768555872401269
102,7110410455,T,0.9309391507170919
103,3800039118,F,3.704630704205128
104,2066200532,F,1.629815840937482
105,7192100336,D,2.1912555138190357
106,4116709448,D,1.769077386395297
107,7027312504,N,1.0
108,1111009507,N,1.0
109,7797508004,D,1.5581662461852084
110,1111085345,D,1.2370498399341838
111,2066200531,FD,1.9903993734643128
112,88491201427,N,1.0
113,88491212971,T,1.2985754131611804
114,1111038078,N,1.0
115,1111087398,D,2.0877289528071
116,4116709428,T,1.0582033365410193
117,7218063983,N,1.0000000000000002
118,1111038078,F,1.830360826256118
119,3000006610,N,1.0
120,1111009477,F,1.3466579145941746
121,31254742725,N,0.9999999999999998
122,1111009507,T,0.9423146048535533
123,1600027528,F,3.2875788029999753
124,7110410470,D,1.5054446673216098
125,7192100336,T,1.4605341228585285
126,31254742725,T,1.4240589534376538
127,3000006610,FD,4.057135971167233
128,3700044982,N,0.9999999999999998
129,7192100339,T,1.318822284737062
130,7797508006,T,1.1831238393368808
131,1111009507,FD,2.8752158376747503
132,1600027564,FD,2.7270447482135998
133,1600027564,F,1.8371118402625775
134,2066200530,N,1.0
135,3800039118,D,3.1076554389353204
136,88491201427,F,1.9049637881325858
137,4116709428,N,1.0000000000000002
138,7027316204,N,0.9999999999999998
139,7192100336,FD,3.0329705182019295
140,1111009497,F,1.301471266654255
141,1111085350,FD,1.7265221104742974
142,3700019521,N,1.0
143,1600027527,FD,3.3687618549889935
144,3700044982,F,1.3101299674923435
145,1111087398,N,1.0
146,1600027528,D,1.813886944333269
147,1111087398,T,1.1058672060162718
148,2840002333,FD,2.6589219475759394
149,7192100339,N,1.0
150,1111009497,T,0.9713821986027552
151,1111035398,D,1.0882357567465555
152,1111038080,FD,3.1244813069493875
153,1111085345,T,1.0810473644570608
154,2066200530,D,2.2628751975507053
155,2840004770,F,1.7904679030792903
156,88491212971,F,2.0875015821963627
157,4116709565,N,0.9999999999999997
158,7027316404,N,1.0
159,1111009507,D,1.5699950084293852
